"ResponseId,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseType,LocationLatitude,LocationLongitude,Q1_Main_Role,Q2_Heard_Of_Catatonia,Q3_Cared_For_Someone,Q4_What_Include_Text,Q5_Include_What_Is,Q5_Include_Signs,Q5_Include_Warning_Signs,Q5_Include_Differences_ID,Q5_Include_Tell_Difference,Q5_Include_What_To_Do,Q5_Include_Treatments,Q5_Include_Urgency,Q5_Include_Where_Help,Q5_Include_Advocate,Q5_Include_Family_Help,Q6_Anything_Else_Text,Q7_Real_Life_Examples,Q8_Checklist_Helpful,Q9_Language_Type,Q10_Format_Print,Q10_Format_PDF,Q10_Format_Webpage,Q10_Format_Checklist,Q10_Format_Video,Q11_Pictures_Help,Q12_Wish_Knew_Earlier,Q13_Biggest_Worry,Q14_Anything_Else,Q15_Review_Group_Interest,Q16_Email,Q1_Other_Role"
"R_6197548,223.89.145.67,100,712,TRUE,2025-09-02T09:40:00.000Z,Survey Preview,38.78,93.89,Parent or caregiver,Yes,No,Support groups or resources,1,1,1,1,1,1,1,1,1,0,1,,Yes,Yes,Easy to understand with simple words,1,1,1,0,0,Yes,That it's treatable,Long-term effects,,No,,"
"R_8574392,156.78.92.234,100,923,TRUE,2025-08-31T21:50:00.000Z,Survey Preview,41.56,90.12,Behavioral therapist,Yes,Yes,Emergency contact information,1,1,1,1,1,1,1,1,1,1,0,How to document symptoms,Yes,Yes,Medical and detailed (more like what a doctor would use),0,1,1,1,1,Yes,How serious this condition is,Getting proper treatment,How to educate others,Yes,therapist234@yahoo.com,"
"R_2739584,89.134.67.156,100,689,TRUE,2025-09-03T15:05:00.000Z,Survey Preview,36.23,95.45,Teacher or school staff,No,Unsure,Information for schools,1,1,1,0,1,1,1,1,1,1,1,Training for staff,Yes,Yes,Both: a short one-page summary plus more detailed pages after,1,1,1,1,0,Yes,That it can happen in people with ID,Not recognizing it in time,Financial resources,Yes,teacher890@gmail.com,"
"R_5926847,198.234.156.78,100,812,TRUE,2025-09-01T12:30:00.000Z,Survey Preview,39.67,92.34,Parent or caregiver,Yes,No,How to talk to doctors about this,1,1,1,1,0,1,1,1,1,1,1,Information about insurance coverage,Yes,Yes,Easy to understand with simple words,1,1,0,1,0,Yes,The warning signs to look for,Not recognizing it in time,Contact information for experts,No,,"
"R_7481629,167.89.123.245,100,756,TRUE,2025-08-29T18:15:00.000Z,Survey Preview,43.45,86.78,Medical provider (like a psychiatrist or pediatrician),Yes,Yes,More examples of what to look for,1,1,0,1,1,1,1,1,1,0,1,Legal rights and protections,Yes,Yes,Medical and detailed (more like what a doctor would use),1,1,1,1,0,No,How serious this condition is,Doctors not taking it seriously,Research updates,Yes,provider456@hotmail.com,"
"R_3864795,134.67.234.89,100,934,TRUE,2025-09-04T08:20:00.000Z,Survey Preview,37.89,94.12,Person with intellectual disability,No,Unsure,,1,1,1,1,1,1,0,1,1,1,1,,Yes,Yes,Easy to understand with simple words,1,1,1,0,0,Yes,How to get help quickly,It happening again,Support group information,Yes,person456@outlook.com,"
"R_8259173,223.156.89.134,100,678,TRUE,2025-09-02T16:45:00.000Z,Survey Preview,40.12,91.56,Behavioral therapist,Yes,Yes,Emergency contact information,1,1,1,1,1,1,1,0,1,1,1,How to document symptoms,Yes,Yes,Both: a short one-page summary plus more detailed pages after,0,1,0,1,1,Yes,The warning signs to look for,Getting proper treatment,How to educate others,No,,"
"R_4738926,89.198.145.67,100,823,TRUE,2025-08-31T14:10:00.000Z,Survey Preview,42.78,87.23,Teacher or school staff,No,No,Information for schools,1,1,1,1,1,1,1,1,1,0,1,Training for staff,Yes,Yes,Both: a short one-page summary plus more detailed pages after,1,1,0,0,0,Yes,That it can happen in people with ID,Not recognizing it in time,,Yes,teacher123@yahoo.com,"
"R_6185947,156.234.78.123,100,712,TRUE,2025-09-03T20:35:00.000Z,Survey Preview,35.67,96.45,Parent or caregiver,Yes,Unsure,Support groups or resources,1,1,1,0,1,1,1,1,1,1,1,,Yes,Yes,Easy to understand with simple words,1,1,1,1,0,Yes,That it's treatable,Long-term effects,Contact information for experts,No,,"
"R_8427395,198.89.156.234,100,945,TRUE,2025-09-01T11:55:00.000Z,Survey Preview,41.34,89.78,Medical provider (like a psychiatrist or pediatrician),Yes,Yes,More examples of what to look for,1,1,1,1,1,1,0,1,1,1,1,Legal rights and protections,Yes,Yes,Medical and detailed (more like what a doctor would use),1,1,1,1,1,Yes,How serious this condition is,Doctors not taking it seriously,Research updates,Yes,provider789@gmail.com,"
"R_3759284,134.78.245.156,100,689,TRUE,2025-08-30T17:20:00.000Z,Survey Preview,38.56,93.12,Other,No,No,,1,1,1,1,0,1,1,1,1,1,1,Cultural considerations,Yes,Yes,Both: a short one-page summary plus more detailed pages after,1,1,0,1,0,Yes,How to get help quickly,It happening again,Support group information,Yes,advocate567@hotmail.com,Speech therapist"
"R_7294816,223.67.134.89,100,834,TRUE,2025-09-04T13:40:00.000Z,Survey Preview,43.23,86.45,Parent or caregiver,Yes,No,How to talk to doctors about this,1,1,1,1,1,1,1,1,1,0,1,Information about insurance coverage,Yes,Yes,Easy to understand with simple words,1,1,1,0,0,Yes,The warning signs to look for,Not recognizing it in time,Contact information for experts,No,,"
"R_5826174,167.156.89.234,100,756,TRUE,2025-09-02T07:25:00.000Z,Survey Preview,39.89,92.67,Behavioral therapist,Yes,Yes,Emergency contact information,1,1,1,1,1,1,0,1,1,1,1,How to document symptoms,Yes,Yes,Medical and detailed (more like what a doctor would use),0,1,1,1,0,Yes,How serious this condition is,Getting proper treatment,How to educate others,Yes,therapist567@outlook.com,"
"R_4973628,89.245.123.67,100,912,TRUE,2025-08-31T19:15:00.000Z,Survey Preview,36.45,95.78,Teacher or school staff,No,Unsure,Information for schools,1,1,1,0,1,1,1,1,1,1,0,Training for staff,Yes,Yes,Both: a short one-page summary plus more detailed pages after,1,1,1,0,1,Yes,That it can happen in people with ID,Not recognizing it in time,Financial resources,No,,"
"R_8164529,198.134.67.156,100,723,TRUE,2025-09-03T12:50:00.000Z,Survey Preview,42.67,88.34,Parent or caregiver,Yes,No,,1,1,1,1,0,1,1,1,1,1,1,,Yes,Yes,Easy to understand with simple words,1,1,0,1,0,Yes,That it's treatable,Long-term effects,,Yes,parent890@gmail.com,"
"R_2857396,156.89.234.123,73,245,FALSE,2025-09-04T16:30:00.000Z,Survey Preview,37.23,94.56,Parent or caregiver,Yes,Unsure,How to talk to doctors about this,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,"
"R_6294718,134.245.78.89,68,198,FALSE,2025-09-03T18:45:00.000Z,Survey Preview,40.78,91.23,Medical provider (like a psychiatrist or pediatrician),No,No,More examples of what to look for,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,,"
"R_4826395,223.156.134.67,52,156,FALSE,2025-09-02T21:10:00.000Z,Survey Preview,38.45,93.67,Teacher or school staff,Yes,No,Information for schools,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,"
"R_7539184,167.89.245.123,46,123,FALSE,2025-09-01T15:25:00.000Z,Survey Preview,41.56,89.12,Behavioral therapist,No,Unsure,,,,,,,,,,,,,,,,,,,,,,,,"
"R_3694827,198.67.156.89,39,187,FALSE,2025-08-31T10:40:00.000Z,Survey Preview,36.89,95.34,Parent or caregiver,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,"
"R_8275639,134.123.89.245,71,289,FALSE,2025-09-04T14:55:00.000Z,Survey Preview,43.34,87.78,Other,No,Unsure,Support groups or resources,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,"
"R_5947281,156.234.67.134,58,234,FALSE,2025-09-03T09:20:00.000Z,Survey Preview,39.12,92.45,Medical provider (like a psychiatrist or pediatrician),Yes,Yes,Emergency contact information,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,,"
"R_4186372,223.89.178.156,33,145,FALSE,2025-09-02T13:35:00.000Z,Survey Preview,37.67,94.23,Teacher or school staff,No,No,,,,,,,,,,,,,,,,,,,,,,,,"
"R_7528394,167.245.134.89,27,98,FALSE,2025-09-01T17:50:00.000Z,Survey Preview,42.23,88.56,Parent or caregiver,Yes,Unsure,,,,,,,,,,,,,,,,,,,,,,,,"
"R_3749285,198.156.89.234,82,312,FALSE,2025-08-30T22:15:00.000Z,Survey Preview,40.45,90.78,Behavioral therapist,Yes,Yes,How to document symptoms,1,1,1,1,1,1,1,0,1,1,1,Training for staff,Yes,Yes,,,,,,,,,,,"
"R_6382749,134.67.245.123,76,267,FALSE,2025-09-04T11:30:00.000Z,Survey Preview,38.78,93.12,Person with intellectual disability,No,No,,1,1,1,0,1,1,1,1,1,1,0,,Yes,Yes,,,,,,,,,,,"
